id;depth_i;depth_f;Cs137_invt;Ref_Cs137_invt;effVol;density;k;e;mix_depth_i;mix_depth_f;mix_year_i;mix_year_f;mix_frequency;lower_boundary
profile1;0;0.05;932.74;;;;;;;;;;;
profile1;0.05;0.1;627.09;;;;;;;;;;;
profile1;0.1;0.15;185.66;;;;;;;;;;;
profile1;0.15;0.2;145.85;;;;;;;;;;;
profile1;0.2;0.25;111.28;;;;;;;;;;;
profile1;0.25;0.3;109.46;1570;0.63;1.33;0.03;;;;;;;0.6
profile2;0;0.05;435.98;;;;;;;;;;;
profile2;0.05;0.1;296.38;;;;;;;;;;;
profile2;0.1;0.15;278.34;;;;;;;;;;;
profile2;0.15;0.2;52.34;;;;;;;;;;;
profile2;0.2;0.25;78.23;;;;;;;;;;;
profile2;0.25;0.3;11.08;1570;0.63;0.98;0.03;;;;;;;0.6
profile3;0;0.47;2505;1570;0.82;1.47;0.03;;;;;;;0.6
profile4;0;0.05;194.88;;;;;;;;;;;
profile4;0.05;0.1;209.27;;;;;;;;;;;
profile4;0.1;0.15;67.13;;;;;;;;;;;
profile4;0.15;0.2;142.34;;;;;;;;;;;
profile4;0.2;0.25;69.61;;;;;;;;;;;
profile4;0.25;0.3;0.00;;;;;;;;;;;
profile4;0.3;0.35;0.00;;;;;;;;;;;
profile4;0.35;0.4;0.00;1570;0.55;1.55;0.002;;0;0.25;1954;2003;1;0.6
profile5;0;0.15;2632.77;;;;;;;;;;;
profile5;0.15;0.25;685.15;;;;;;;;;;;
profile5;0.25;0.3;38.19;;;;;;;;;;;
profile5;0.3;0.4;219.81;1570;0.78;1.01;0.03;;;;;;;0.6
profile6;0;0.55;900;1570;0.97;1.49;0.002;;0;0.3;1954;2003;1;0.6
