id;depth_i;depth_f;Cs137_invt;Ref_Cs137_invt;effVol;density;k;e;mix_depth_i;mix_depth_f;mix_year_i;mix_year_f;mix_frequency;lower_boundary
Ex1;0;0.05;932.74;;;;;;;;;;;
Ex1;0.05;0.1;627.09;;;;;;;;;;;
Ex1;0.1;0.15;185.66;;;;;;;;;;;
Ex1;0.15;0.2;145.85;;;;;;;;;;;
Ex1;0.2;0.25;111.28;;;;;;;;;;;
Ex1;0.25;0.3;109.46;1570;0.63;1.33;0.03;;;;;;;0.6
Ex2;0;0.05;444.74;;;;;;;;;;;
Ex2;0.05;0.1;56.09;;;;;;;;;;;
Ex2;0.1;0.15;185.66;;;;;;;;;;;
Ex2;0.15;0.2;45.85;;;;;;;;;;;
Ex2;0.2;0.25;20.28;;;;;;;;;;;
Ex2;0.25;0.3;00;1570;0.63;1.33;0.03;;0;0.25;1954;2003;1;0.6
Ex3;0.0;0.4;1600;1570;0.55;1.55;0.002;;;;;;;0.6
Ex4;0.0;0.4;2550;1570;0.55;1.55;0.002;;0;0.25;1954;2003;1;0.6

